,compound_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,target_name,organism,assay_description,assay_type,Ki [nM]
10511,CHEMBL1689009,OC(=O)C(=O)O.FCCOc1ccccc1N2CCN(C\C=C\CNC(=O)c3ccc(CCF)cc3)CC2,Ki,=,17.7,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [125I]-IABN from human D2 receptor transfected in human HEK 293 cells by gamma-counting,B,17.7
10513,CHEMBL1689010,OC(=O)C(=O)O.FCCOc1ccc(cc1)C(=O)NC\C=C\CN2CCN(CC2)c3ccccc3OCCF,Ki,=,37.9,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [125I]-IABN from human D2 receptor transfected in human HEK 293 cells by gamma-counting,B,37.9
10514,CHEMBL1689011,OC(=O)C(=O)O.FCCOCCOc1ccc(cc1)C(=O)NC\C=C\CN2CCN(CC2)c3ccccc3OCCF,Ki,=,64.8,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [125I]-IABN from human D2 receptor transfected in human HEK 293 cells by gamma-counting,B,64.8
10515,CHEMBL1689012,OC(=O)C(=O)O.FCCOc1ccccc1N2CCN(C\C=C\CNC(=O)c3ccc(cc3)c4ccsc4)CC2,Ki,=,70.5,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [125I]-IABN from human D2 receptor transfected in human HEK 293 cells by gamma-counting,B,70.5
10529,CHEMBL1744037,CCCN(CCCCN1C(=O)CC(C)(C)CC1=O)[C@@H]2CCc3ccc4[nH]c(cc4c3C2)C(=O)N,Ki,=,38.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]U-86170 from human D2-dopamine receptor expressed in CHO K1 cells,B,38.0
10532,CHEMBL1744044,COc1ccccc1N2CCN(CC3CN=C4N3C(=Nc5ccccc45)SC)CC2,Ki,>,50.0,nM,Dopamine D2 receptor,Homo sapiens,Compound is evaluated for binding affinity towards recombinant human Dopamine receptor D2 using [3H]spiperone in CHO cells at 10 uM,B,50.0
10534,CHEMBL1744088,CCCN(CCCCN1C(=O)CC(C)(C)CC1=O)[C@@H]2CCc3ccc4[nH]c(cc4c3C2)C#N,Ki,=,44.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]U-86170 from human D2-dopamine receptor expressed in CHO K1 cells,B,44.0
10539,CHEMBL1765629,CCCN(CCCCNC(=O)c1ccc(cc1)c2ccccc2)C3CCn4nccc4C3,Ki,=,77.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine D2short receptor expressed in CHO cells after 60 mins,B,77.0
10542,CHEMBL1765630,CCCN(CCCCNC(=O)c1ccc(cc1)c2ccccc2)C3CCn4ncc(Cl)c4C3,Ki,=,43.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine D2short receptor expressed in CHO cells after 60 mins,B,43.0
10547,CHEMBL1765633,CCCN(CCCCNC(=O)c1ccc(cc1)c2ccccc2)[C@H]3CCn4nccc4C3,EC50,=,26.0,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human dopamine D2long receptor expressed in HEK293 cells co-expressing Galphao1 assessed as incorporation of [35S]GTPgammaS into Galphao1 after 30 mins by scintillation counting,F,13.0
10549,CHEMBL1765633,CCCN(CCCCNC(=O)c1ccc(cc1)c2ccccc2)[C@H]3CCn4nccc4C3,EC50,=,110.0,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human dopamine D2long receptor expressed in CHO cells assessed as increase of forskolin-induced cAMP accumulation by bioluminescence assay,F,55.0
10550,CHEMBL1765633,CCCN(CCCCNC(=O)c1ccc(cc1)c2ccccc2)[C@H]3CCn4nccc4C3,EC50,=,0.51,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human dopamine D2long receptor expressed in CHO cells assessed as induction of [3H]thymidine incorporation after 2 hrs,F,0.255
10552,CHEMBL1765633,CCCN(CCCCNC(=O)c1ccc(cc1)c2ccccc2)[C@H]3CCn4nccc4C3,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]7-OH-DPAT from human dopamine D2long receptor expressed in CHO cells after 60 mins,B,1.0
10553,CHEMBL1765633,CCCN(CCCCNC(=O)c1ccc(cc1)c2ccccc2)[C@H]3CCn4nccc4C3,Ki,=,5.3,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine D2long receptor expressed in CHO cells after 60 mins,B,5.3
10557,CHEMBL1765634,CCCN(CCCCNC(=O)c1ccc(cc1)c2ccccc2)[C@@H]3CCn4nccc4C3,Ki,=,49.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]7-OH-DPAT from human dopamine D2long receptor expressed in CHO cells after 60 mins,B,49.0
10561,CHEMBL1771105,COc1ccc2C(=O)N(CCCCN3CCN(CC3)c4ccccc4OC)CCCc2c1,Ki,=,3.2,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,B,3.2
10562,CHEMBL1771105,COc1ccc2C(=O)N(CCCCN3CCN(CC3)c4ccccc4OC)CCCc2c1,Ki,=,0.93,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,B,0.93
10563,CHEMBL1771106,COc1ccccc1N2CCN(CCCCN3CCc4cc(F)ccc4C3=O)CC2,Ki,=,26.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,B,26.0
10564,CHEMBL1771106,COc1ccccc1N2CCN(CCCCN3CCc4cc(F)ccc4C3=O)CC2,Ki,=,9.2,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,B,9.2
10565,CHEMBL1771107,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)c5ccccc5)CC2,Ki,=,38.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,B,38.0
10566,CHEMBL1771107,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)c5ccccc5)CC2,Ki,=,15.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,B,15.0
10567,CHEMBL1771108,COc1ccccc1N2CCN(CCCCN3CCc4c(cccc4c5ccccc5)C3=O)CC2,Ki,=,52.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,B,52.0
10568,CHEMBL1771108,COc1ccccc1N2CCN(CCCCN3CCc4c(cccc4c5ccccc5)C3=O)CC2,Ki,=,63.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,B,63.0
10569,CHEMBL1771109,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)c5occc5)CC2,Ki,=,16.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,B,16.0
10570,CHEMBL1771109,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)c5occc5)CC2,Ki,=,4.8,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,B,4.8
10571,CHEMBL1771110,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)c5cccs5)CC2,Ki,=,11.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,B,11.0
10572,CHEMBL1771110,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)c5cccs5)CC2,Ki,=,6.9,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,B,6.9
10573,CHEMBL1771111,COc1ccccc1N2CCN(CCCCN3CCCc4cc(ccc4C3=O)c5cccs5)CC2,Ki,=,5.1,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,B,5.1
10574,CHEMBL1771111,COc1ccccc1N2CCN(CCCCN3CCCc4cc(ccc4C3=O)c5cccs5)CC2,Ki,=,2.1,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,B,2.1
10575,CHEMBL1771112,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)c5ccncc5)CC2,Ki,=,7.1,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,B,7.1
10576,CHEMBL1771112,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)c5ccncc5)CC2,Ki,=,13.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,B,13.0
10577,CHEMBL1771113,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)C#N)CC2,Ki,=,38.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,B,38.0
10578,CHEMBL1771113,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)C#N)CC2,Ki,=,22.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,B,22.0
10579,CHEMBL1771114,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)C#C)CC2,Ki,=,24.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 long receptor expressed in CHO cells,B,24.0
10580,CHEMBL1771114,COc1ccccc1N2CCN(CCCCN3CCc4cc(ccc4C3=O)C#C)CC2,Ki,=,8.8,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2 short receptor expressed in CHO cells,B,8.8
10582,CHEMBL1774062,Clc1cccc(N2CCN(CCCCCc3ccc4CCC(=O)Nc4n3)CC2)c1Cl,Ki,=,2.6,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,2.6
10584,CHEMBL1774063,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2)c1Cl,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.0
10587,CHEMBL1774063,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2)c1Cl,EC50,=,3.2,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at D2L receptor in human HTLA cells assessed as beta arrestin recruitment at 6 uM after 18 hrs by luminescence assay,F,1.6
10589,CHEMBL1774063,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2)c1Cl,Ki,=,3.4,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]N-methylspiperone from human D2L receptor expressed in CHO cells after 1.5 hrs by microbeta counting method,B,3.4
10591,CHEMBL1774064,Clc1cccc(N2CCN(CCCCOc3ccc4C=CC(=O)Nc4n3)CC2)c1Cl,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.0
10593,CHEMBL1774065,Clc1cccc(N2CCN(CCCCOc3cc4NC(=O)C=Cc4cn3)CC2)c1Cl,Ki,=,2.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,2.0
10595,CHEMBL1774066,Clc1cccc(N2CCN(CCCCOc3ncc4C=CC(=O)Nc4n3)CC2)c1Cl,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.0
10597,CHEMBL1774067,Clc1ccccc1N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2,Ki,=,5.7,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,5.7
10599,CHEMBL1774068,Fc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2)c1Cl,Ki,=,2.5,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,2.5
10601,CHEMBL1774069,Cc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2)c1Cl,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.0
10603,CHEMBL1774070,Cc1ccccc1N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2,Ki,=,5.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,5.0
10605,CHEMBL1774071,Cc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2)c1C,Ki,=,2.5,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,2.5
10607,CHEMBL1774072,Cc1c(Cl)cccc1N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2,Ki,=,3.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,3.0
10609,CHEMBL1774073,Fc1c(Cl)cccc1N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.0
10611,CHEMBL1774074,FC(F)(F)c1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2)c1Cl,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.0
10613,CHEMBL1774075,FC(F)(F)c1c(Cl)cccc1N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2,Ki,=,3.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,3.0
10615,CHEMBL1774076,O=C1CCc2ccc(OCCCCN3CCN(CC3)c4cccc5CCCc45)nc2N1,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.0
10617,CHEMBL1774077,O=C1CCc2ccc(OCCCCN3CCN(CC3)c4cccc5CCCCc45)nc2N1,Ki,=,1.4,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.4
10619,CHEMBL1774078,O=C1CCc2ccc(OCCCCN3CCN(CC3)c4cccc5OCCCc45)nc2N1,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.0
10621,CHEMBL1774079,O=C1CCc2ccc(OCCCCN3CCN(CC3)c4cccc5CCCOc45)nc2N1,Ki,=,0.71,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,0.71
10623,CHEMBL1774080,O=C1CCc2ccc(OCCCCN3CCN(CC3)c4cccc5ccccc45)nc2N1,Ki,=,0.81,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,0.81
10625,CHEMBL1774081,Fc1ccc2ccccc2c1N3CCN(CCCCOc4ccc5CCC(=O)Nc5n4)CC3,Ki,=,1.6,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.6
10627,CHEMBL1774082,Fc1cc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2)c5ccccc5c1,Ki,=,1.1,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.1
10629,CHEMBL1774083,Fc1ccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2)c5ccccc15,Ki,=,2.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,2.0
10631,CHEMBL1774084,Fc1cccc2c(cccc12)N3CCN(CCCCOc4ccc5CCC(=O)Nc5n4)CC3,Ki,=,6.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,6.0
10633,CHEMBL1774085,Fc1ccc2c(cccc2c1)N3CCN(CCCCOc4ccc5CCC(=O)Nc5n4)CC3,Ki,=,1.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.0
10635,CHEMBL1774086,Fc1ccc2cccc(N3CCN(CCCCOc4ccc5CCC(=O)Nc5n4)CC3)c2c1,Ki,=,1.2,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.2
10637,CHEMBL1774087,Fc1cccc2cccc(N3CCN(CCCCOc4ccc5CCC(=O)Nc5n4)CC3)c12,Ki,=,1.7,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]Spiperone from human dopamine D2L receptor expressed in CHO cells,B,1.7
10645,CHEMBL1774386,FC(CCNC(=O)c1oc2ccccc2c1)CN3CCN(CC3)c4cccc(Cl)c4Cl,Kd,=,0.03,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity to wild type human dopamine D2 receptor expressed in HEK293 cells,B,0.03
10672,CHEMBL1774543,CCCN(CCCCN1CCN(CC1)c2ccccc2OC)Cc3csc4ccccc34,Ki,=,69.9,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [125I]-IABN from human dopamine D2L receptor expressed in HEK293 cells after 60 mins by gamma counting,B,69.9
10683,CHEMBL1774552,Clc1cccc(N2CCN(CCCCNC(=O)c3csc4ccccc34)CC2)c1Cl,Ki,=,64.7,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [125I]-IABN from human dopamine D2L receptor expressed in HEK293 cells after 60 mins by gamma counting,B,64.7
10701,CHEMBL1788258,CCS(=O)(=O)c1ccc(OC)c(c1)c2ccc(CN3CCCCC[C@@H]3c4ccccc4)[nH]2,Ki,=,25.12,nM,Dopamine D2 receptor,Homo sapiens,"Ability to displace [125I]sulpiride from human Dopamine receptor D2, expressed in CHO cells",B,25.12
10707,CHEMBL1802360,Fc1ccc(OCCCN2CCC(CC2)N3C(=O)Nc4ccccc34)cc1,Ki,=,0.5012,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity to dopamine D2 receptor,B,0.5012
10708,CHEMBL1803023,COc1ccccc1N2CCN(Cc3ccc(OCc4cn(CCCCCCCCn5cc(COc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,16.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human D2long receptor expressed in CHO cells,B,16.0
10709,CHEMBL1803023,COc1ccccc1N2CCN(Cc3ccc(OCc4cn(CCCCCCCCn5cc(COc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,25.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2short receptor expressed in CHO cells,B,25.0
10710,CHEMBL1803024,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCCCCCCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,22.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human D2long receptor expressed in CHO cells,B,22.0
10711,CHEMBL1803024,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCCCCCCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,41.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2short receptor expressed in CHO cells,B,41.0
10712,CHEMBL1803024,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCCCCCCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,35.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2short receptor expressed in CHO cells in presence of 100 mM sodium chloride,B,35.0
10717,CHEMBL1803024,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCCCCCCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,41.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human DRD2 short receptor expressed in chinese hamster CHO cells by radioligand binding assay,B,41.0
10718,CHEMBL1803024,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCCCCCCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,22.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human DRD2 Long receptor expressed in chinese hamster CHO cells by radioligand binding assay,B,22.0
10719,CHEMBL1803025,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCCCCCCCCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,23.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human D2long receptor expressed in CHO cells,B,23.0
10720,CHEMBL1803025,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCCCCCCCCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,17.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2short receptor expressed in CHO cells,B,17.0
10721,CHEMBL1803026,COc1ccccc1N2CCN(Cc3ccc(OCCCCc4cn(CCCCCCCCCCn5cc(CCCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,17.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human D2long receptor expressed in CHO cells,B,17.0
10722,CHEMBL1803026,COc1ccccc1N2CCN(Cc3ccc(OCCCCc4cn(CCCCCCCCCCn5cc(CCCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,8.2,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2short receptor expressed in CHO cells,B,8.2
10723,CHEMBL1803027,COc1ccccc1N2CCN(Cc3ccc(OCc4cn(CCOCCOCCn5cc(COc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,3.3,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human D2long receptor expressed in CHO cells,B,3.3
10724,CHEMBL1803027,COc1ccccc1N2CCN(Cc3ccc(OCc4cn(CCOCCOCCn5cc(COc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,3.4,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2short receptor expressed in CHO cells,B,3.4
10725,CHEMBL1803028,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCOCCOCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,2.8,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human D2long receptor expressed in CHO cells,B,2.8
10726,CHEMBL1803028,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCOCCOCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,3.7,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2short receptor expressed in CHO cells,B,3.7
10727,CHEMBL1803029,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCOCCOCCOCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,4.8,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human D2long receptor expressed in CHO cells,B,4.8
10728,CHEMBL1803029,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCOCCOCCOCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,Ki,=,6.2,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2short receptor expressed in CHO cells,B,6.2
10729,CHEMBL1803030,CCCCn1cc(COc2ccc(CN3CCN(CC3)c4ccccc4OC)cc2OC)nn1,Ki,=,63.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human D2long receptor expressed in CHO cells,B,63.0
10730,CHEMBL1803030,CCCCn1cc(COc2ccc(CN3CCN(CC3)c4ccccc4OC)cc2OC)nn1,Ki,=,70.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2short receptor expressed in CHO cells,B,70.0
10731,CHEMBL1803049,CCCCn1cc(CCCOc2ccc(CN3CCN(CC3)c4ccccc4OC)cc2OC)nn1,Ki,=,67.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human D2long receptor expressed in CHO cells,B,67.0
10732,CHEMBL1803049,CCCCn1cc(CCCOc2ccc(CN3CCN(CC3)c4ccccc4OC)cc2OC)nn1,Ki,=,53.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2short receptor expressed in CHO cells,B,53.0
10733,CHEMBL1803049,CCCCn1cc(CCCOc2ccc(CN3CCN(CC3)c4ccccc4OC)cc2OC)nn1,Ki,=,12.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2short receptor expressed in CHO cells in presence of 100 mM sodium chloride,B,12.0
10738,CHEMBL1803049,CCCCn1cc(CCCOc2ccc(CN3CCN(CC3)c4ccccc4OC)cc2OC)nn1,Ki,=,53.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human DRD2 short receptor expressed in chinese hamster CHO cells by radioligand binding assay,B,53.0
10739,CHEMBL1803049,CCCCn1cc(CCCOc2ccc(CN3CCN(CC3)c4ccccc4OC)cc2OC)nn1,Ki,=,67.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human DRD2 Long receptor expressed in chinese hamster CHO cells by radioligand binding assay,B,67.0
10740,CHEMBL1803050,CCCCn1cc(CCCCOc2ccc(CN3CCN(CC3)c4ccccc4OC)cc2OC)nn1,Ki,=,52.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human D2long receptor expressed in CHO cells,B,52.0
